id;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16;w17;w18;w19;w20;w21;w22;w23;w24;w25;w26;w27;w28;w29;w30;państwo_oś;macierz_gospodarcze;macierz_społeczne;wykszt_ojca;wykszt_matki;rok_studiów;kierunek_studiów;praca;miejsc_pochodzenia;rok_urodzenia;płeć
82;2;2;2;1;2;1;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;2;2;1;2;1;1;2;2;2;1;1;2;1;1;1;1;1;1;2;1;2;2;2;1;2;2;2;1;1;2;4;3;5;5;2;MST;0;4;1994;1
83;2;1;1;2;2;1;1;1;2;2;1;2;1;2;1;3;1;2;1;1;2;1;2;1;1;2;2;1;1;2;1;1;1;2;1;1;2;2;1;2;2;2;2;1;2;;1;2;1;1;2;2;1;5;3;2;4;3;2;MST;2;2;1995;1
84;1;2;1;3;2;1;3;1;1;1;1;2;3;2;1;2;2;2;1;2;2;3;1;1;1;1;2;1;1;1;2;1;1;2;1;2;2;1;1;2;1;1;2;1;1;2;2;1;1;2;1;1;2;3;3;3;5;4;2;MST;1;4;1994;1
85;2;2;2;1;3;1;1;3;2;1;2;2;1;1;1;3;2;3;2;3;3;1;3;2;1;1;1;2;1;1;1;1;1;2;1;2;2;1;1;1;2;1;2;1;1;2;1;2;1;1;1;1;1;1;4;3;3;4;2;MST;1;3;1994;1
86;1;1;2;1;2;2;1;1;1;1;1;2;1;2;1;2;2;2;1;2;2;1;1;2;1;1;2;1;2;1;1;2;2;2;2;1;1;2;2;1;2;1;1;1;2;2;1;2;1;1;1;1;2;;3;3;5;4;2;MST;1;5;1994;1
87;2;2;1;1;2;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;1;1;1;1;2;2;2;2;1;2;2;2;1;2;1;1;1;2;1;2;1;1;2;2;1;1;2;0;4;3;4;4;2;MST;2;2;1995;2
88;1;3;1;3;1;1;1;1;3;3;1;2;3;2;2;1;2;2;2;2;2;3;2;2;2;1;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;3;3;3;5;5;2;MST;3;4;1993;1
89;1;2;1;1;2;1;1;2;3;1;1;2;1;2;1;2;2;1;1;1;2;1;1;1;2;2;2;1;1;2;1;1;2;2;2;1;1;1;1;2;2;1;2;1;1;2;1;1;1;2;1;1;2;3;3;3;5;5;2;MST;2;4;1993;1
90;1;2;1;2;2;1;1;1;2;2;1;2;2;2;1;2;2;1;2;1;1;1;2;1;2;1;1;1;1;1;1;2;1;2;1;2;2;2;2;2;1;1;1;1;1;2;1;2;2;2;2;1;2;6;3;3;5;5;2;MST;1;5;1993;2
91;1;2;1;3;2;1;1;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;2;1;1;2;6;2;3;4;4;2;MST;1;5;1993;2
92;2;2;1;1;2;1;1;1;1;2;1;3;1;2;1;2;2;3;2;3;3;1;1;2;1;2;1;1;1;1;1;1;2;2;1;2;1;2;1;1;2;2;1;1;1;1;1;1;1;2;1;1;2;3;4;3;4;5;1;MST;1;5;1995;1
93;2;2;2;2;3;1;1;3;1;2;1;2;1;2;1;1;2;2;2;1;2;1;1;1;1;2;1;2;2;1;1;1;2;1;2;1;1;2;1;1;2;1;1;1;1;2;1;2;1;1;1;1;2;3;3;3;4;5;2;MST;1;3;1993;1
94;1;2;1;2;2;1;1;2;1;2;1;2;1;2;1;2;2;2;2;1;1;2;2;1;1;2;2;1;1;1;2;1;2;1;1;2;1;2;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;6;3;3;3;4;2;MST;2;5;1993;1
95;1;2;1;2;2;1;1;1;1;2;1;2;1;2;3;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;1;1;2;1;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;5;3;3;6;5;2;MST;1;1;1994;1
96;2;2;1;1;2;3;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;2;1;1;2;2;2;1;1;2;2;1;2;2;2;1;2;1;1;2;1;1;1;1;1;2;1;2;2;2;1;2;2;4;3;3;4;4;;MST;;;;
